"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","1","...","All industry total",3108,3343,3525,3667,3905,4138,4274,4323,4416,4447,4486,4703,4623
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","2","..."," Private industries",2664,2869,3003,3128,3343,3549,3651,3674,3741,3759,3769,3967,3888
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","3","11","  Agriculture, forestry, fishing, and hunting",23,"(D)",25,27,27,32,34,34,27,34,35,37,37
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","4","111-112","   Farms",1,9,"(L)",1,1,"(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","5","113-115","   Forestry, fishing, and related activities",22,"(D)",25,26,26,32,34,34,27,34,35,37,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","6","21","  Mining",2,"(D)",2,3,4,7,8,7,6,8,15,14,14
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","7","211","   Oil and gas extraction","(L)","(L)","(L)","(L)",1,1,1,1,"(L)","(D)","(D)","(D)","(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","8","212","   Mining, except oil and gas","(D)","(L)","(D)","(D)","(D)","(D)",3,"(D)","(D)","(D)","(D)","(D)","(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)",5,"(D)","(D)",5,6,7,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","10","22","  Utilities",34,35,37,37,39,43,46,46,51,52,55,48,50
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","11","23","  Construction",177,172,196,219,240,260,270,260,239,214,208,210,209
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","12","31-33","  Manufacturing",170,168,181,202,203,218,211,184,194,163,133,137,148
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","13","...","   Durable goods manufacturing",83,83,91,95,98,88,83,74,71,67,72,70,77
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","14","321","    Wood products manufacturing",48,46,50,62,61,44,37,30,22,22,25,23,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","15","327","    Nonmetallic mineral products manufacturing",2,2,5,5,4,4,5,"(D)",5,4,3,3,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","16","331","    Primary metals manufacturing","(D)","(D)","(L)","(L)","(L)","(D)","(L)","(D)","(D)","(D)","(D)","(L)","(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","17","332","    Fabricated metal products",5,4,3,3,3,4,6,5,6,5,7,8,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","18","333","    Machinery manufacturing",4,2,4,4,3,3,3,2,2,3,3,3,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","19","334","    Computer and electronic products manufacturing","(L)","(D)","(D)","(D)","(D)","(D)","(D)",1,1,1,3,3,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","20","335","    Electrical equipment, appliance, and components manufacturing","(D)","(D)","(D)","(L)","(L)","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(L)","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","22","3364-3366, 3369","    Other transportation equipment manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","23","337","    Furniture and related products manufacturing",6,6,6,5,5,6,5,6,6,4,4,3,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","24","339","    Miscellaneous manufacturing",16,21,22,16,20,25,25,23,27,25,24,24,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","25","...","   Nondurable goods manufacturing",87,85,90,107,105,130,127,109,123,96,61,68,71
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","26","311-312","    Food and beverage and tobacco products manufacturing",18,20,20,27,26,30,22,22,27,28,29,33,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","27","313-314","    Textile mills and textile product mills","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","28","315-316","    Apparel and leather and allied products manufacturing","(D)","(D)","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(D)","(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","29","322","    Paper products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","30","323","    Printing and related support activities",4,4,4,4,3,4,3,4,3,3,3,3,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","31","324","    Petroleum and coal products manufacturing","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(D)","(D)","(L)",1,1,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","32","325","    Chemical products manufacturing",1,4,4,4,4,5,12,13,18,18,20,23,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","33","326","    Plastics and rubber products manufacturing",1,1,2,1,"(D)","(D)",5,"(D)","(D)","(D)","(D)",7,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","34","42","  Wholesale trade",169,173,188,208,221,242,248,247,229,232,227,240,250
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","35","44-45","  Retail trade",273,295,302,309,323,332,346,341,329,330,337,346,353
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","36","48-49","  Transportation and warehousing",210,195,216,229,245,262,249,234,222,234,225,245,240
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","37","481","   Air transportation",6,7,7,8,11,14,13,13,14,13,15,16,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","38","482","   Rail transportation",51,38,55,64,73,86,89,113,106,121,105,114,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","39","483","   Water transportation","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","40","484","   Truck transportation",123,119,119,120,123,124,110,72,65,60,63,68,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","41","485","   Transit and ground passenger transportation",6,6,8,8,7,7,8,7,7,7,8,8,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","42","486","   Pipeline transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","43","487-488, 492","   Other transportation and support activities","(D)","(D)",25,"(D)",27,29,25,24,26,28,29,33,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","44","493","   Warehousing and storage","(D)",1,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","45","51","  Information",119,149,139,129,128,132,133,133,140,141,140,142,151
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","46","511","   Publishing industries, except Internet (includes software)","(D)",23,"(D)",30,"(D)","(D)",35,32,30,31,29,32,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","47","512","   Motion picture and sound recording industries","(D)","(D)","(D)","(D)",3,4,6,6,19,23,22,21,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","48","515, 517","   Broadcasting and telecommunications",87,109,94,81,81,82,81,83,81,78,79,79,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)",13,"(D)","(D)","(D)",11,12,9,10,10,10,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","50","52, 53","  Finance, insurance, real estate, rental, and leasing",658,737,769,759,853,890,876,885,968,984,977,1096,952
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","51","52","   Finance and insurance",152,155,170,161,172,183,195,195,196,192,198,213,232
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","52","521-522","    Federal Reserve banks, credit intermediation, and related services",80,77,"(D)",84,93,98,103,114,109,99,96,106,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","53","523","    Securities, commodity contracts, and investments","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","54","524","    Insurance carriers and related activities",60,67,73,66,65,70,80,73,70,75,84,88,"(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","55","525","    Funds, trusts, and other financial vehicles","(D)","(D)","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","56","53","   Real estate and rental and leasing",506,581,599,599,681,707,681,689,771,792,779,883,720
"33540","Missoula, MT (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","57","531","    Real estate",479,530,544,548,634,653,633,633,725,737,726,829,"(NA)"
