"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"25620","Hattiesburg, MS (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","1","...","All industry total",3100,3284,3461,3701,3902,4323,4538,4674,4808,4926,5007,5305,5458
"25620","Hattiesburg, MS (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","2","..."," Private industries",2471,2633,2780,2973,3124,3516,3658,3749,3856,3954,4034,4317,4470
"25620","Hattiesburg, MS (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)",43,"(D)",58,66,"(D)","(D)","(D)","(D)","(D)",55,65
"25620","Hattiesburg, MS (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","4","111-112","   Farms",17,21,19,36,30,31,26,25,25,27,13,20,"(NA)"
"25620","Hattiesburg, MS (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","5","113-115","   Forestry, fishing, and related activities","(D)","(D)",24,"(D)",28,35,"(D)","(D)","(D)","(D)","(D)",35,"(NA)"
"25620","Hattiesburg, MS (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","6","21","  Mining","(D)","(D)",10,"(D)",11,20,"(D)","(D)","(D)","(D)","(D)",51,35
"25620","Hattiesburg, MS (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"25620","Hattiesburg, MS (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"25620","Hattiesburg, MS (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","9","213","   Support activities for mining","(D)","(D)",2,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",20,"(NA)"
"25620","Hattiesburg, MS (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","10","22","  Utilities","(D)","(D)",48,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
