"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","1","...","All industry total",23857,24717,24699,25788,27204,28631,29874,30292,30082,31336,32120,33351,34338
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","2","..."," Private industries",21748,22490,22296,23205,24470,25754,26818,27083,26756,27887,28725,29952,30900
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","4","111-112","   Farms",33,25,49,66,45,41,56,69,58,74,104,133,"(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","6","21","  Mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","10","22","  Utilities",1183,1065,"(D)","(D)",531,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","11","23","  Construction",1187,1159,1210,1293,1449,"(D)",1423,1269,1095,1034,1075,1105,"(D)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","12","31-33","  Manufacturing",6044,6216,4521,4148,4335,4563,4632,4628,4659,4772,4840,5024,4767
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","13","...","   Durable goods manufacturing","(D)",2072,1864,1942,"(D)","(D)","(D)","(D)","(D)",2220,2422,2529,2670
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","14","321","    Wood products manufacturing","(D)","(D)","(D)",34,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","15","327","    Nonmetallic mineral products manufacturing",198,192,161,185,209,221,241,"(D)",208,197,216,225,"(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","16","331","    Primary metals manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","17","332","    Fabricated metal products",258,222,234,220,277,306,334,349,337,330,369,384,"(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","18","333","    Machinery manufacturing",225,190,188,214,255,"(D)","(D)",310,273,255,290,297,"(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","19","334","    Computer and electronic products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","20","335","    Electrical equipment, appliance, and components manufacturing",189,197,"(D)",195,"(D)","(D)","(D)",325,"(D)","(D)","(D)","(D)","(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","22","3364-3366, 3369","    Other transportation equipment manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","23","337","    Furniture and related products manufacturing",57,53,53,51,56,55,57,55,52,60,"(D)","(D)","(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","24","339","    Miscellaneous manufacturing","(D)","(D)",320,"(D)","(D)",299,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","25","...","   Nondurable goods manufacturing","(D)",4144,2657,2206,"(D)","(D)","(D)","(D)","(D)",2552,2418,2496,2097
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","26","311-312","    Food and beverage and tobacco products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1055,991,852,"(D)","(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","27","313-314","    Textile mills and textile product mills","(D)","(D)","(D)","(D)",50,"(D)",38,"(D)",26,"(D)","(D)","(D)","(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","28","315-316","    Apparel and leather and allied products manufacturing",191,"(D)","(D)","(D)","(D)",67,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","29","322","    Paper products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","30","323","    Printing and related support activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","31","324","    Petroleum and coal products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","32","325","    Chemical products manufacturing",2359,2563,1050,676,775,753,890,883,904,940,941,917,"(NA)"
