"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","1","...","All industry total",3969,4402,4753,5150,5658,6333,6364,6367,5948,5830,5736,6082,6570
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","2","..."," Private industries",3548,3953,4280,4648,5152,5803,5802,5759,5316,5170,5046,5378,5860
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","3","11","  Agriculture, forestry, fishing, and hunting",16,17,21,18,17,25,24,30,25,24,28,32,30
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","4","111-112","   Farms","(L)","(L)","(L)",2,"(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","5","113-115","   Forestry, fishing, and related activities",16,17,21,16,17,25,24,30,25,24,28,32,"(NA)"
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","6","21","  Mining",7,9,10,14,17,19,23,13,12,13,11,12,12
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(NA)"
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",11,12,"(NA)"
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","9","213","   Support activities for mining","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","10","22","  Utilities",79,79,84,94,97,112,121,119,120,127,119,152,146
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","11","23","  Construction",293,294,357,434,537,658,660,520,406,338,311,333,390
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","12","31-33","  Manufacturing",301,327,336,426,459,556,514,491,454,457,473,503,575
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","13","...","   Durable goods manufacturing",261,280,287,373,"(D)","(D)",433,423,372,374,393,412,467
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","14","321","    Wood products manufacturing",104,89,97,124,125,114,95,69,50,59,58,58,"(NA)"
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","15","327","    Nonmetallic mineral products manufacturing",7,8,7,15,11,12,12,9,6,5,7,8,"(NA)"
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","16","331","    Primary metals manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","17","332","    Fabricated metal products",16,18,21,25,28,31,28,26,24,22,24,26,"(NA)"
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","18","333","    Machinery manufacturing",9,9,7,9,9,10,10,10,9,8,6,6,"(NA)"
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","19","334","    Computer and electronic products manufacturing",32,50,39,71,81,115,116,152,159,174,176,190,"(NA)"
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","20","335","    Electrical equipment, appliance, and components manufacturing","(D)",4,11,15,19,40,24,33,34,40,43,36,"(NA)"
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","22","3364-3366, 3369","    Other transportation equipment manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","23","337","    Furniture and related products manufacturing",15,18,21,17,24,28,26,18,10,8,9,10,"(NA)"
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","24","339","    Miscellaneous manufacturing",18,17,15,16,18,21,24,24,23,26,25,26,"(NA)"
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","25","...","   Nondurable goods manufacturing",40,46,49,54,"(D)","(D)",81,67,82,82,81,91,109
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","26","311-312","    Food and beverage and tobacco products manufacturing","(D)",21,26,28,35,40,41,30,41,35,34,41,"(NA)"
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","27","313-314","    Textile mills and textile product mills","(D)","(D)","(D)",3,4,4,2,1,1,1,1,1,"(NA)"
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)"," ","200","GDP by Metropolitan Area (millions of current dollars)","28","315-316","    Apparel and leather and allied products manufacturing","(L)","(L)","(D)","(D)","(D)","(D)",3,3,"(D)","(D)","(D)","(D)","(NA)"
